PassengerId,Pclass,Sex,Age,Survived
1,1,male,30.094778893390746,1
2,2,male,64.41681224242015,0
3,2,female,10.867641534537286,0
4,1,female,7.488435946512572,0
5,2,male,26.29024063874314,1
6,2,female,45.648512122605155,1
7,2,female,68.87326767763867,0
8,1,female,68.69998278747094,1
9,2,female,79.69604294780864,0
10,1,female,41.11643915277879,1
11,1,male,67.49121522625808,1
12,1,male,34.2955414924404,0
13,2,male,22.988929927681177,0
14,3,female,69.12964365477593,0
15,1,male,40.16275127518609,1
16,1,female,31.75827510904603,0
17,3,male,30.24127259254907,1
18,1,female,57.895353427361094,1
19,1,female,29.712728546104053,0
20,1,male,46.68175845512114,0
21,2,male,73.65458591230744,1
22,1,female,58.74771365058727,1
23,3,female,39.321520846190985,1
24,2,male,58.99518737589464,1
25,1,female,18.030868424342614,1
26,2,male,50.138996336054475,0
27,1,female,79.86481728231188,0
28,2,female,29.71558261169803,0
29,3,male,4.0152533765553855,0
30,2,male,44.253240064364206,0
31,2,male,1.860852490087671,1
32,1,female,33.623765063410644,1
33,2,male,38.909766330182,0
34,3,female,35.35135982392177,1
35,1,female,31.5593311062541,0
36,3,male,43.5759802711069,0
37,3,male,25.702833235490782,1
38,3,male,15.019826922272397,0
39,3,female,28.593999237218885,0
40,1,male,6.973601381193326,1
41,3,male,31.92268138644316,0
42,3,male,41.10629436145648,1
43,1,female,41.92707788777423,1
44,2,female,37.03980304594143,1
45,1,female,9.02893727772618,0
46,3,female,77.26916630427485,1
47,1,female,14.341706427887429,0
48,2,female,70.37100806347803,0
49,2,male,60.77580128918043,1
50,2,female,72.34249397904935,0
51,1,female,59.67748219068876,0
52,1,female,20.636232597181685,0
53,2,female,5.690649240711394,1
54,1,male,23.889173881432384,1
55,2,female,71.99824361822917,0
56,1,male,1.0442877220346278,1
57,3,male,65.18471297401958,1
58,3,female,33.3420675534593,1
59,2,male,56.05301998176767,0
60,2,male,17.93002284206662,1
61,2,male,72.72582836045633,1
62,3,female,27.61907300004587,0
63,2,female,40.80692040685257,0
64,2,male,20.8133611482642,0
65,1,female,46.22236682306398,1
66,3,female,57.946845211956095,1
67,1,female,76.43842294053607,0
68,1,female,28.056786230294072,1
69,3,male,26.531626337742548,0
70,2,male,5.372825465360121,0
71,2,male,23.398699069167648,1
